"40068248-NGRAMS1.txt","Crossroads of Cultures: The Transnational Turn in American Studies: Presidential Address to the American Studies Association, November 12, 2004"
"40068329-NGRAMS1.txt","E Pluribus Multitudinum: The New World of Journal Publishing in American Studies"
"30041535-NGRAMS1.txt","The Transformation of Culture: Three Chinese Views of America"
"30041901-NGRAMS1.txt","Coming out against the War: Antimilitarism and the Politicization of Homosexuality in the Era of Vietnam"
"40068199-NGRAMS1.txt","\"In the Traditions of China and in the Freedom of America\": The Making of San Francisco's Chinese New Year Festivals"
"41237531-NGRAMS1.txt","The Black President Hokum"
"30042183-NGRAMS1.txt","African American Art and Critical Discourse between World Wars"
"30041943-NGRAMS1.txt","More Is Better: Mass Consumption, Gender, and Class Identity in Postwar America"
"2713051-NGRAMS1.txt","The Problem of American Exceptionalism: A Reconsideration"
"40068273-NGRAMS1.txt","Language, the University, and American Studies in Korea"
"30041968-NGRAMS1.txt","The Black Jews of Harlem: Representation, Identity, and Race, 1920-1939"
"2713336-NGRAMS1.txt","Thorstein Veblen and the Rhetoric of Authority"
"2712434-NGRAMS1.txt","Film, Television, and American Studies: Questions, Activities, Guides"
"2711905-NGRAMS1.txt","Film and American Studies: Questions, Activities, Guides"
"2713269-NGRAMS1.txt","Losing the World of Tomorrow: The Battle Over the Presentation of Science at the 1939 New York World's Fair"
"2711944-NGRAMS1.txt","The Problem of American Family History"
"2711558-NGRAMS1.txt","Doctors in Crisis: A Study of the Use of Medical Education Reform to Establish Modern Professional Elitism in Medicine"
"2712942-NGRAMS1.txt","Puerto Rican Studies"
"2710825-NGRAMS1.txt","The Melting Pot: Symbol of Fusion or Confusion?"
"2713041-NGRAMS1.txt","\"A Silent Exile on this Earth\": The Metaphorical Construction of Deafness in the Nineteenth Century"
"2713296-NGRAMS1.txt","Interrogating \"Whiteness,\" Complicating \"Blackness\": Remapping American Culture"
"30041520-NGRAMS1.txt","Rethinking Betty Friedan and the Feminine Mystique: Labor Union Radicalism and Feminism in Cold War America"
"30042184-NGRAMS1.txt","One Black Allah: The Middle East in the Cultural Politics of African American Liberation, 1955-1970"
"30042226-NGRAMS1.txt","\"Rosebloom and Pure White,\" or so It Seemed"
